"","Country","Region","Score","Economy","Family","Health","Freedom","Trust","Generosity"
"158","Togo","Sub-Saharan Africa",2.49692589415892,0.50213680240261,0.43911789115886,1.18433166802116,2.42444933765693,0.964038149833479,1.26810090872459
"159","Denmark","Western Europe",6.61918431822475,3.46928694157579,3.65144019047668,3.31044914159386,3.85359282015692,3.99351298802979,2.74974389841599
"160","Switzerland","Western Europe",6.60423266616392,3.67514185553756,3.59339316663646,3.59355117059488,3.89456230941698,3.70154355489599,2.13488866493092
"161","Iceland","Western Europe",6.59719659460588,3.43290440155121,3.71268764482053,3.61145584370422,3.76600058419022,1.34530531113189,3.62451382568018
"162","Norway","Western Europe",6.59455806777161,3.79571917568513,3.53584817111054,3.31357204969433,3.96452968393252,3.21399951993687,2.8808035451183
"163","Finland","Western Europe",6.51979980746745,3.38314309680861,3.5601337908145,3.37652987699975,3.79792486153572,3.68366604191333,1.93791909149375
"164","Canada","North America",6.51188422696466,3.46536474976097,3.43920772060898,3.44602499192881,3.81561623189801,2.81449549866117,3.40831102102742
"165","Netherlands","Western Europe",6.4547161455556,3.52439012719501,3.22904611753774,3.38235930545395,3.67202349275442,2.68854437704469,3.60459640837391
"166","New Zealand","Australia and New Zealand",6.45031860083182,3.27409172684079,3.67980479023428,3.4600156202189,3.86729365585103,3.76451911570423,3.75549745170574
"167","Australia","Australia and New Zealand",6.43184891299197,3.47566351109067,3.46638000312013,3.54429250015684,3.78016698226229,2.90451192081504,3.60391222228324
"168","Sweden","Western Europe",6.41249971620737,3.49342165562648,3.41266297349069,3.46105658958573,3.87201578854172,3.67135840734738,2.90809496806849
"169","Israel","Middle East and Northern Africa",6.39139150153325,3.21874791595685,3.12314951999139,3.53583982889825,2.42305265052307,0.784095142274402,2.45455561062884
"170","Austria","Western Europe",6.26122417770954,3.48998071434108,3.40070842425657,3.35462788152181,3.61509186482162,1.91783491032011,2.49841954110867
"171","United States","North America",6.24803154353822,3.6285327417627,3.28772067677082,3.24366054701854,3.20326868706474,1.33569277902564,3.12270133850968
"172","Costa Rica","Latin America and Caribbean",6.23307989147738,2.57177876672362,3.20519977260878,3.17062613624228,3.67295461751033,0.947508188080673,1.71449432255055
"173","Puerto Rico","Latin America and Caribbean",6.19086346212915,3.27113203608482,3.39223669645287,3.23774784101499,3.1141467461419,1.1027460897592,1.68781106501429
"174","Germany","Western Europe",6.15128555961518,3.48394102019679,3.44435351083049,3.39301883177022,3.55596544282132,2.56492901089327,2.31498164813148
"175","Brazil","Latin America and Caribbean",6.11434618393548,2.61689600385727,3.26123868319183,2.55724534653586,2.6886227326909,1.27262738146874,1.19930219627355
"176","Belgium","Western Europe",6.09411747820612,3.42984846068936,3.30237362819428,3.41267233341582,3.41549862250114,2.35803497873722,1.84274120421342
"177","Ireland","Western Europe",6.07476828142152,3.56945923927571,3.64463143146407,3.39168639098068,3.59201327265728,2.6730026195271,3.41811768832707
"178","Luxembourg","Western Europe",6.04310595941034,4.08466199355223,3.26315266614007,3.52022528839591,3.64934395405689,3.17384249328739,2.09596607843928
"179","Mexico","Latin America and Caribbean",5.96131162754815,2.68316420175916,2.24218395871469,2.96230734655379,2.50798453004431,1.64895352159105,0.892102641561242
"180","Singapore","Southeastern Asia",5.92701077870271,3.959609043481,2.72218578071886,3.94398309824197,3.24363959612456,4.22115930912549,2.48633225350677
"181","United Kingdom","Western Europe",5.91469765347614,3.37556340097016,3.40977631068351,3.37236599953246,3.32783987762331,2.46143707644092,3.81289306264556
"182","Chile","Latin America and Caribbean",5.89710747458104,2.92768759576028,2.84232743168329,3.40950778654068,2.51330524293523,1.0287206088662,2.40187328164699
"183","Panama","Latin America and Caribbean",5.89358943880202,2.84674125671091,3.10353903896429,2.94948260395454,3.25408149517298,0.756694933934153,1.83817996360893
"184","Argentina","Latin America and Caribbean",5.84873448261953,2.77048711032343,3.34514016521818,2.9026806212222,2.81226279849356,0.655448918198217,0.8353912167121
"185","Czech Republic","Central and Eastern Europe",5.80124099960277,3.15014565298724,3.16255874266345,3.18020305441705,2.7546660814494,0.358089280145024,0.754809299366133
